Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3212,118,5,162,10,2470,228,236,142,1390,Commanche,C7202
2740,1,17,30,6,1579,193,205,148,2828,Rawah,C7745
2776,115,21,255,75,2250,251,214,81,573,Commanche,C4703
3165,168,6,301,25,977,225,242,152,2292,Rawah,C7202
3076,63,7,90,12,2638,226,226,134,1812,Commanche,C7756
3160,61,12,390,42,2922,230,215,117,930,Commanche,C7757
3171,261,3,0,0,5675,212,241,166,1731,Rawah,C7101
2807,70,6,120,9,2970,227,228,135,4631,Rawah,C7745
3136,27,7,408,23,3937,218,225,144,3290,Rawah,C7745
3002,333,7,95,12,1732,205,232,166,1637,Rawah,C7745
2963,97,10,60,1,2137,236,226,120,2790,Commanche,C7756
3396,214,7,285,27,2893,213,247,170,1915,Commanche,C7756
3173,21,3,30,0,1811,217,232,152,485,Rawah,C7202
3135,359,16,30,8,1650,195,210,151,2308,Commanche,C7700
3188,81,10,335,13,4264,233,223,121,2892,Rawah,C7202
2589,38,11,175,-9,361,220,216,129,1316,Rawah,C7745
3113,329,6,600,-72,983,207,233,165,1132,Neota,C7202
3301,273,14,595,128,716,181,243,201,371,Neota,C7757
3004,248,15,384,59,5821,188,250,199,1839,Rawah,C7745
3057,13,8,42,-2,3424,213,225,149,2824,Commanche,C7202
2610,14,12,258,60,234,208,214,141,1159,Rawah,C4744
3233,264,6,180,23,437,204,243,178,983,Neota,C7700
3052,67,8,134,17,4761,228,224,129,601,Rawah,C7746
2965,27,18,443,-35,3840,209,198,119,5824,Rawah,C7102
3031,84,7,594,27,3960,231,227,129,4470,Rawah,C7745
2241,337,30,95,5,1414,141,184,174,825,Cache,C4703
2896,348,15,313,81,1939,192,215,161,1492,Commanche,C7756
3039,16,30,201,53,2230,179,163,106,4155,Rawah,C7745
3355,135,14,335,43,1230,241,234,119,2831,Rawah,C7201
2285,118,32,85,47,1050,254,192,37,900,Cache,C2717
3054,355,15,474,10,3654,194,212,155,2731,Rawah,C7745
2777,15,11,60,3,931,211,218,143,3171,Commanche,C7700
3113,103,11,180,0,4074,238,226,118,3024,Rawah,C7745
2897,2,15,228,-14,1517,197,209,148,2270,Commanche,C4758
3119,26,11,382,38,1423,215,215,136,3169,Commanche,C7757
3126,193,13,365,50,912,218,250,164,1332,Rawah,C7746
3035,294,17,360,106,5981,168,233,204,1537,Rawah,C7745
2528,80,12,120,11,630,236,218,111,150,Rawah,C7745
3034,183,12,351,46,5681,223,248,156,1863,Rawah,C7745
2867,54,10,335,65,2761,226,218,125,1931,Rawah,C4744
2895,119,24,806,266,2761,252,212,73,1702,Commanche,C4703
3034,315,1,579,62,5568,216,237,159,6485,Rawah,C4744
3096,27,26,484,187,2340,200,175,100,2161,Commanche,C7757
2953,171,26,1050,158,2640,227,241,129,1266,Commanche,C4758
3462,318,15,661,93,2106,181,226,185,459,Commanche,C8772
3420,350,11,636,81,1504,201,222,160,1476,Commanche,C8771
2871,306,12,0,0,2576,186,233,187,268,Commanche,C7202
3237,12,10,127,16,3708,210,219,146,3569,Rawah,C7202
3038,274,19,350,59,5949,167,242,212,1785,Rawah,C7745
3119,108,16,67,13,3514,245,220,98,4184,Rawah,C7745
2919,64,22,201,91,365,234,189,77,283,Commanche,C7756
3053,50,21,0,0,1410,225,191,91,942,Rawah,C7202
3069,5,14,900,200,2614,201,212,147,1772,Commanche,C7700
3280,63,4,443,131,4116,224,231,143,1805,Commanche,C8772
3231,90,2,319,14,330,222,236,150,1406,Commanche,C7756
2762,55,15,603,26,1570,228,207,109,2689,Rawah,C4744
3173,225,0,134,-2,5042,218,238,157,2575,Rawah,C7101
2997,163,6,30,-10,2429,226,242,149,1612,Commanche,C7202
2590,49,9,228,45,624,224,220,129,994,Rawah,C4201
3223,1,14,120,17,2264,199,213,150,2489,Rawah,C7745
2709,326,5,134,38,2096,207,234,166,4500,Rawah,C4744
2968,153,13,0,0,4261,235,240,134,2192,Rawah,C7745
3152,153,4,42,0,420,225,240,150,1441,Rawah,C7202
3051,273,25,430,140,5718,146,238,226,1253,Rawah,C7745
3297,4,12,543,22,2387,204,216,149,904,Commanche,C7201
2919,206,9,228,23,5689,215,249,169,5241,Rawah,C7745
3131,72,3,192,-4,4539,223,233,146,1820,Rawah,C7101
2905,25,26,351,45,2557,198,176,104,2550,Rawah,C7745
3266,340,19,85,27,2994,175,208,169,2563,Commanche,C7700
3033,191,6,319,49,3095,220,245,160,541,Commanche,C7756
2676,48,14,404,6,691,224,210,117,957,Rawah,C7745
2983,86,4,532,2,1804,225,233,144,1003,Commanche,C7756
2873,106,25,150,71,153,253,200,59,977,Rawah,C7745
2984,26,20,319,125,1604,206,192,115,2964,Commanche,C7700
3001,124,5,604,82,5724,229,236,140,3361,Rawah,C7745
2657,36,6,192,2,1383,220,226,142,934,Rawah,C7745
2330,37,24,170,15,306,211,180,93,1107,Cache,C4703
3295,1,12,674,125,1057,203,218,152,2295,Rawah,C7202
3289,218,11,360,14,2628,208,250,177,655,Commanche,C7756
3032,301,4,134,4,1262,208,238,168,2676,Rawah,C7745
3131,190,12,180,26,2177,220,249,161,655,Commanche,C7756
2998,97,11,283,43,3144,238,224,116,6323,Rawah,C7745
3351,321,13,376,69,2563,186,227,180,1001,Commanche,C7756
2824,359,18,283,90,2524,190,204,149,696,Commanche,C7700
3109,83,14,268,-73,1570,239,215,104,1361,Rawah,C7745
2820,111,29,175,74,849,254,195,47,1307,Commanche,C4758
3308,259,16,446,79,3301,180,247,205,1290,Commanche,C7756
3127,35,13,268,13,2930,218,211,127,3031,Commanche,C7755
2786,87,15,190,31,1826,241,214,98,2780,Rawah,C7745
2505,129,12,124,20,1068,240,233,121,1048,Commanche,C2705
2773,110,10,95,16,1748,237,230,123,2892,Rawah,C7745
2967,43,11,42,6,1110,222,217,128,942,Commanche,C7202
3307,96,15,30,9,2420,243,217,99,4009,Neota,C8703
2718,259,33,150,69,1706,124,237,239,1296,Commanche,C4758
3064,139,14,424,63,1518,241,235,120,700,Commanche,C4758
2903,283,14,277,48,3341,179,240,200,2779,Rawah,C4744
2866,36,6,0,0,1442,220,226,143,2601,Commanche,C7102
2765,53,9,0,0,912,226,220,128,459,Commanche,C7755
2981,216,13,210,37,134,207,252,179,1180,Commanche,C7756
2446,245,24,85,19,1403,165,250,217,685,Cache,C4703
3033,249,10,30,2,2516,199,247,187,1476,Commanche,C7202
3250,18,12,509,187,1061,211,215,139,443,Rawah,C7201
3283,30,13,674,78,3277,216,212,130,4351,Rawah,C8776
2701,164,4,0,0,1537,224,241,152,2364,Commanche,C6102
3137,303,10,674,67,1879,193,236,182,2650,Commanche,C7756
3162,270,9,552,84,1020,198,243,185,957,Commanche,C7202
2743,36,11,85,0,1224,219,216,131,2251,Rawah,C7745
3318,333,18,277,89,1736,177,215,175,2964,Rawah,C7202
3252,41,20,644,176,693,218,193,102,2030,Commanche,C7757
2890,98,7,108,20,4310,232,230,130,5864,Rawah,C7746
3088,238,9,402,42,5819,204,248,182,1848,Rawah,C7201
2750,308,17,67,21,3461,171,227,195,1423,Rawah,C7745
3037,217,2,30,-3,6545,217,241,161,3027,Rawah,C7745
3383,239,19,644,15,1442,182,252,205,4044,Neota,C7757
3193,90,3,458,17,4700,224,234,146,2265,Rawah,C7745
2935,165,8,631,72,2720,228,243,148,1847,Commanche,C7702
3090,302,9,85,2,4710,194,236,181,2431,Rawah,C7745
3084,351,5,484,66,2890,212,232,158,816,Commanche,C7756
3079,124,7,90,10,1368,233,235,135,3272,Commanche,C7202
3110,229,10,295,44,350,205,250,181,757,Commanche,C7756
2978,94,10,234,13,5165,236,225,119,5850,Rawah,C7101
2277,328,22,175,111,1064,162,209,184,752,Cache,C2717
2567,0,17,60,31,1249,194,207,149,1871,Commanche,C4758
3018,175,8,469,-2,1544,225,244,153,1475,Commanche,C7756
2545,228,30,390,-54,666,163,251,211,1300,Commanche,C2705
3198,357,16,242,50,3339,193,210,153,2514,Commanche,C7755
2712,186,7,192,-11,1836,222,246,158,4116,Rawah,C4744
2813,343,25,402,63,1383,161,192,164,1198,Commanche,C7757
3036,132,6,30,-2,3475,231,237,139,2581,Commanche,C7202
2425,148,14,313,84,841,238,238,128,1218,Commanche,C2703
3142,59,6,1273,199,3002,224,228,139,1556,Commanche,C7756
2837,77,4,30,-2,4744,226,231,141,4615,Rawah,C7745
2939,96,6,255,20,4476,231,231,133,5708,Rawah,C7745
2664,18,5,67,7,443,216,229,150,1307,Rawah,C7202
2067,318,29,330,218,300,132,200,201,878,Cache,C2706
2975,263,12,745,79,6049,189,246,196,5805,Rawah,C7745
3221,263,14,661,87,3303,185,246,200,1055,Commanche,C7756
2651,41,20,366,110,553,218,192,100,2506,Rawah,C7745
2493,97,30,404,147,532,251,181,34,890,Commanche,C2704
3325,329,24,216,47,2343,155,203,184,2248,Neota,C7757
2922,107,6,446,50,3042,231,232,134,1978,Rawah,C7745
3351,298,13,120,24,3391,185,235,191,2072,Commanche,C7756
2308,0,7,216,84,987,210,227,155,175,Cache,C2717
3109,43,19,150,43,1485,220,194,101,2550,Commanche,C7757
2839,73,13,300,80,679,235,214,108,2173,Rawah,C7700
3168,104,4,470,26,3031,226,234,143,4802,Rawah,C7745
3280,338,26,190,54,3532,156,194,172,3983,Rawah,C8771
3153,96,9,371,45,5628,235,227,123,1041,Rawah,C7745
3139,88,8,212,13,3462,232,227,128,3973,Rawah,C7745
3034,259,16,421,123,5367,180,247,205,805,Rawah,C7745
2772,105,7,150,2,2737,233,231,130,1981,Rawah,C4744
2971,93,5,552,53,912,227,233,140,2026,Rawah,C7745
3122,319,9,42,5,1077,196,232,175,1539,Commanche,C7202
2362,55,13,0,0,780,228,211,113,1530,Cache,C2706
2985,290,15,67,12,1706,178,237,199,1503,Rawah,C7745
3381,125,25,42,18,4179,252,213,72,3851,Commanche,C7757
2865,99,16,240,67,247,245,216,95,810,Rawah,C7745
2991,121,12,67,15,1587,240,230,117,1900,Rawah,C7202
2616,140,17,150,5,655,243,233,112,1905,Rawah,C7746
3111,130,7,153,-7,2093,233,236,136,2071,Commanche,C7756
3106,90,8,0,0,3097,232,228,129,5382,Rawah,C7746
3290,206,14,391,102,1307,211,252,174,2713,Rawah,C7745
2902,354,34,150,101,180,143,160,140,789,Rawah,C7746
3247,301,28,485,151,420,130,215,219,979,Neota,C7201
2578,49,5,382,22,1401,222,229,143,1622,Commanche,C2703
3033,294,8,390,-1,1833,199,238,179,2072,Commanche,C7755
3229,63,10,180,-14,607,229,221,124,2253,Rawah,C7201
3400,189,11,488,7,3250,220,249,161,67,Commanche,C8771
2975,278,5,732,82,6050,206,241,173,5993,Rawah,C7102
2962,38,18,420,237,1898,217,197,109,671,Commanche,C4758
3060,33,7,42,1,4838,219,226,143,2190,Rawah,C7202
3330,87,15,175,-25,4216,241,213,98,3699,Commanche,C7757
2846,43,13,618,58,930,222,212,122,1595,Commanche,C4704
2565,4,6,256,88,859,212,228,154,1080,Cache,C2717
2826,115,25,85,26,1024,253,207,66,2222,Commanche,C7757
3453,84,7,750,104,3474,231,227,129,1377,Commanche,C8708
2616,326,14,0,0,1142,185,224,178,845,Commanche,C7102
3315,87,23,60,0,2081,246,194,64,841,Commanche,C8772
3031,282,10,60,6,2278,191,241,189,3227,Rawah,C7202
2423,66,20,402,116,836,235,194,82,819,Cache,C2703
3040,339,4,376,18,2318,211,234,161,1221,Rawah,C7202
2974,347,16,242,87,1972,187,212,162,2744,Commanche,C7756
3491,33,17,721,79,2642,214,200,117,1788,Rawah,C8776
3135,293,9,256,23,1383,195,238,183,2123,Commanche,C7202
3036,339,15,127,23,2345,187,218,169,1749,Commanche,C7756
3004,90,14,255,44,5018,240,218,105,4308,Rawah,C7745
3270,328,12,541,42,1872,191,226,175,743,Commanche,C7755
3143,181,10,631,102,860,223,247,156,1900,Commanche,C7757
2805,80,11,90,14,2586,235,220,116,2353,Rawah,C4744
3088,303,8,90,22,2222,198,236,178,3166,Rawah,C7201
3233,294,11,95,9,4368,188,237,189,582,Commanche,C7756
2387,129,18,190,51,541,246,227,102,1381,Cache,C2702
2838,13,8,242,-3,2460,212,223,148,920,Commanche,C7700
3316,347,19,150,28,1194,181,206,161,2526,Rawah,C8771
2882,325,11,30,7,5303,192,228,175,1040,Rawah,C7745
3001,290,5,234,19,5243,206,239,172,5131,Rawah,C7745
2952,53,10,60,20,4884,226,218,126,6129,Rawah,C7102
2722,216,11,201,38,1470,209,250,176,3785,Rawah,C4744
2898,112,19,335,93,2731,249,217,89,1061,Commanche,C2705
3365,0,14,67,10,3539,198,212,151,2353,Rawah,C8708
3181,13,9,488,95,3046,212,222,148,1731,Commanche,C7755
2614,22,12,162,14,725,212,214,137,1302,Commanche,C4703
3035,193,5,30,7,3034,219,244,160,902,Commanche,C7202
2313,299,29,108,23,808,125,214,222,674,Cache,C2717
3026,248,8,247,77,1265,204,246,180,2100,Commanche,C7756
2545,17,13,379,23,319,208,212,139,2737,Rawah,C7745
3091,148,6,150,-9,819,228,240,145,1747,Rawah,C7202
3326,322,32,228,1,3723,122,188,196,3839,Rawah,C8772
2868,135,18,150,15,2639,245,230,107,2482,Rawah,C4744
2640,161,31,67,21,1482,233,230,103,1068,Commanche,C4758
3201,161,9,408,26,4264,229,242,145,2813,Rawah,C7745
2543,184,3,90,0,509,220,241,157,1142,Rawah,C4201
2559,39,24,108,51,1289,213,179,90,1661,Commanche,C4703
3246,302,21,216,47,5126,155,225,207,1519,Rawah,C7745
2990,153,8,170,21,4478,230,241,143,1974,Rawah,C7746
2628,121,28,85,30,1073,254,204,57,2263,Rawah,C7746
2926,126,6,182,4,3847,231,236,138,6435,Rawah,C7745
2594,153,13,120,7,872,235,240,133,2213,Rawah,C7746
3087,120,9,216,29,595,236,233,128,1369,Rawah,C7202
2815,178,25,153,37,3733,222,245,140,1383,Rawah,C7746
2562,91,11,192,12,390,237,223,115,1356,Rawah,C4744
2968,340,7,180,9,4837,205,230,163,4586,Rawah,C7202
2926,126,21,295,125,300,249,221,89,1120,Rawah,C7745
2962,179,26,175,41,277,220,244,140,765,Commanche,C4758
2961,117,13,540,9,4134,242,227,112,4532,Rawah,C7202
3133,298,16,270,73,1383,173,232,199,2378,Commanche,C7757
3204,253,11,228,31,2860,196,247,189,841,Commanche,C7755
2063,53,26,108,24,607,224,176,70,743,Cache,C2717
2972,49,9,607,141,1273,224,220,130,2384,Commanche,C7756
3143,108,14,0,0,4315,244,222,104,2007,Rawah,C7745
2552,184,11,95,5,2218,223,247,157,2047,Commanche,C2703
2530,20,12,150,2,402,212,215,139,1423,Commanche,C4703
2698,71,14,30,8,1554,235,211,104,564,Rawah,C7102
2922,20,13,514,127,3009,210,211,136,1158,Commanche,C7756
3341,12,9,180,28,2086,211,221,147,2135,Neota,C8771
2736,41,18,175,50,1266,219,197,106,1557,Commanche,C4703
3101,75,7,0,0,1836,229,226,130,2442,Rawah,C7102
3228,99,10,541,207,2692,237,226,119,2940,Commanche,C7755
3219,323,9,30,-3,4020,197,231,173,1328,Rawah,C7201
3268,355,13,1116,251,2122,197,216,155,2074,Commanche,C8771
3224,23,13,741,34,1964,212,211,134,503,Commanche,C7202
2958,282,29,395,207,2546,127,227,232,859,Commanche,C4758
3010,267,22,170,27,3434,160,243,219,1779,Commanche,C4758
2972,10,9,85,20,4660,210,221,148,5486,Rawah,C4744
3076,343,8,272,75,2151,204,228,163,2766,Commanche,C7756
2671,329,4,30,-5,1489,210,235,163,1284,Rawah,C4744
3089,268,19,420,101,1400,169,244,213,591,Commanche,C4758
2980,212,4,201,-3,3662,216,244,165,1443,Rawah,C7745
3204,264,6,90,-14,3372,204,243,178,1543,Rawah,C7201
2410,240,21,30,4,949,176,252,209,1200,Commanche,C6101
2785,169,19,361,93,3565,231,244,137,1752,Commanche,C4758
2766,87,9,420,2,684,234,224,121,514,Commanche,C4704
2989,5,15,234,56,552,200,210,146,1736,Commanche,C7700
3201,78,20,335,56,1507,241,200,81,4772,Neota,C7201
2809,33,19,108,9,3672,213,195,111,2936,Rawah,C7745
2997,82,13,816,199,3005,238,216,107,708,Commanche,C4703
3004,0,0,170,22,5279,218,238,156,5047,Rawah,C7745
3291,90,15,323,62,492,242,215,99,769,Neota,C7700
3032,288,5,466,122,1774,205,239,173,2380,Commanche,C7756
3226,180,5,247,25,5445,222,243,156,1200,Rawah,C7745
2931,343,12,571,174,1071,195,221,165,2761,Commanche,C7756
2728,88,8,589,20,1084,233,227,126,875,Rawah,C4744
3050,130,20,216,42,684,248,224,95,1419,Commanche,C7202
3041,17,12,0,0,3941,210,214,140,3884,Rawah,C7745
2580,245,4,175,72,890,212,243,169,1148,Commanche,C4703
3161,79,8,182,42,2563,231,225,126,1860,Rawah,C7745
3238,147,11,360,51,2074,235,239,134,1747,Commanche,C7756
3045,0,1,95,0,3059,217,236,156,443,Rawah,C7201
2882,97,20,524,92,582,248,206,77,684,Commanche,C7757
3271,104,10,391,-19,1492,237,228,121,3178,Neota,C7756
3047,241,11,942,144,5967,199,249,188,3699,Rawah,C7745
2943,58,12,234,16,2353,228,215,118,2282,Rawah,C7745
3149,53,12,424,68,1465,227,214,119,3427,Commanche,C7757
3200,270,3,306,27,1529,212,240,166,108,Commanche,C7202
3231,333,10,968,40,3894,197,228,169,2409,Rawah,C7202
2955,225,6,268,46,5239,211,246,172,4086,Rawah,C7745
2547,77,16,0,0,1448,238,210,98,1230,Commanche,C4703
3409,22,3,255,70,1698,218,233,153,1103,Commanche,C8771
3240,98,8,150,30,3042,234,228,126,2418,Rawah,C7745
2900,316,23,175,56,5838,154,214,197,4682,Rawah,C7700
2746,335,27,201,-6,1294,148,192,177,1956,Commanche,C4758
2684,227,32,60,16,2571,159,250,212,1776,Commanche,C2705
3111,50,15,451,36,1288,226,207,112,2848,Commanche,C7757
3056,16,6,480,16,4986,215,227,149,418,Rawah,C7745
3014,354,9,67,8,904,206,225,158,2505,Rawah,C7745
3121,210,10,60,-5,1632,212,250,173,2221,Commanche,C7202
3475,285,12,497,162,1181,187,240,193,1473,Neota,C8776
2978,101,26,212,1,390,252,195,54,1230,Rawah,C7746
3178,66,3,108,29,4789,222,233,147,1310,Rawah,C7746
2198,254,26,60,32,990,154,246,225,469,Cache,C2702
2496,342,5,30,4,342,209,232,161,531,Cache,C4703
3110,124,19,150,31,624,248,223,96,1632,Commanche,C7756
2791,68,24,175,-17,218,236,184,66,1383,Rawah,C7745
2976,180,1,180,22,5077,219,239,157,2573,Rawah,C7745
3160,336,22,360,84,1170,166,204,174,1687,Commanche,C7757
3316,229,14,95,23,2831,198,252,189,845,Commanche,C7201
2996,320,18,218,41,518,171,220,188,808,Neota,C7201
3458,18,5,865,95,926,216,229,150,335,Neota,C8776
3129,44,13,722,65,3606,222,211,121,2896,Rawah,C7745
3212,213,7,277,58,1214,214,246,168,2007,Rawah,C7745
3080,140,15,85,13,3220,241,234,119,3037,Rawah,C7746
3255,140,24,85,26,3750,247,225,91,4015,Rawah,C8772
3275,215,8,30,-1,5651,213,247,170,782,Rawah,C8771
2953,170,15,408,67,1617,230,245,143,1734,Commanche,C7757
3027,352,5,876,108,5971,211,231,158,3501,Rawah,C7745
3026,12,18,671,11,2529,198,200,135,2315,Commanche,C7700
2674,29,14,458,-9,684,214,208,127,283,Commanche,C4703
2917,25,21,201,69,2311,205,189,114,1956,Commanche,C7757
