Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3376,130,23,402,103,2249,250,220,85,2143,Commanche,C7756,0
3138,180,21,443,77,1863,223,248,147,914,Rawah,C7745,1
2909,107,13,108,18,624,242,223,108,1718,Commanche,C7757,1
2873,63,13,503,94,1289,231,213,112,2697,Commanche,C7702,1
3110,244,14,60,0,1518,191,250,196,2334,Commanche,C7757,0
3195,187,24,150,20,3152,215,249,154,3257,Rawah,C7201,0
2942,287,6,134,10,4106,204,240,175,4948,Rawah,C7745,1
2415,317,23,201,96,234,155,213,196,443,Cache,C4703,2
2211,57,37,150,29,636,217,138,22,902,Cache,C4703,5
2919,261,13,376,19,5650,188,247,197,6087,Rawah,C7745,0
3055,290,6,300,56,1672,204,239,174,1595,Commanche,C7202,0
3185,159,8,1172,104,3046,229,242,145,2289,Commanche,C7756,1
3089,30,10,60,0,1575,217,218,136,3090,Commanche,C7202,0
3011,252,7,95,10,3807,205,245,178,5474,Rawah,C7745,0
3047,294,14,60,14,418,180,236,195,983,Commanche,C7756,1
3162,104,7,430,54,5673,232,231,131,1100,Rawah,C7745,1
3019,18,8,0,0,2213,214,223,145,1707,Commanche,C7102,1
3146,45,12,424,4,3177,223,214,123,4753,Rawah,C7745,0
3092,228,18,258,41,3059,191,254,196,560,Commanche,C4758,1
2875,79,7,309,63,2466,230,227,130,2008,Rawah,C4744,1
2312,260,21,30,10,1136,165,246,217,210,Cache,C2702,2
2144,152,18,182,80,553,239,237,120,981,Cache,C2703,2
3378,342,5,408,47,1500,209,232,161,2230,Commanche,C7756,0
2619,97,10,361,81,1012,236,226,120,3636,Rawah,C7745,1
3264,88,6,558,73,5745,230,229,133,2792,Rawah,C7745,1
2804,32,13,175,36,969,216,211,128,3098,Commanche,C7700,0
2414,64,21,60,24,443,234,193,82,467,Cache,C4703,5
3033,245,19,67,-3,2210,178,251,208,474,Commanche,C7756,1
3088,5,10,0,0,1441,207,220,150,2510,Commanche,C7700,0
3249,236,5,708,105,2118,211,244,171,2043,Commanche,C7755,0
3115,290,19,228,71,384,165,234,208,1661,Neota,C7201,0
3101,321,6,30,0,2132,204,234,169,1061,Commanche,C7202,0
2965,58,9,134,29,4960,227,222,129,6158,Rawah,C7102,1
3028,207,1,153,-11,3260,218,239,158,973,Commanche,C7756,0
3034,3,5,395,11,2971,214,231,155,1269,Commanche,C7756,1
3262,137,18,437,124,845,244,231,108,2288,Rawah,C7201,1
2906,276,6,180,10,5289,203,241,178,5287,Rawah,C6101,1
2579,103,17,162,38,892,247,215,91,703,Rawah,C7746,1
2919,22,7,134,4,4393,216,225,146,4380,Rawah,C7745,0
3123,3,10,0,0,3025,207,221,152,2202,Commanche,C7755,0
2514,282,23,210,87,1290,151,234,220,742,Cache,C4703,1
3054,188,7,693,50,5966,221,245,159,4019,Rawah,C7745,1
2794,75,5,192,26,3065,226,231,140,5910,Rawah,C4744,1
2932,301,1,450,14,5381,215,238,161,2148,Rawah,C7201,1
3065,67,4,67,-4,2346,223,232,144,2121,Commanche,C7756,0
2837,89,12,42,3,4675,239,220,109,4666,Rawah,C7745,1
2814,86,10,60,-3,3509,235,223,119,6491,Rawah,C4744,1
2930,200,20,90,-1,979,209,253,171,671,Commanche,C4758,0
3149,34,20,192,44,4224,213,193,109,3603,Rawah,C7201,0
2936,352,7,497,63,4075,208,228,158,5597,Rawah,C7102,1
3020,79,15,212,51,2139,238,212,101,2412,Commanche,C7756,0
3247,334,24,60,26,1745,159,201,178,2493,Commanche,C7757,0
2959,199,14,400,53,5753,214,252,169,2689,Rawah,C7746,1
3231,90,6,0,0,6090,229,231,136,384,Rawah,C7201,0
3113,132,17,95,15,1673,245,228,105,3217,Commanche,C7757,0
2988,234,4,488,75,5481,213,243,168,3999,Rawah,C7745,1
3223,27,15,797,96,2147,212,207,128,2310,Commanche,C8771,6
2870,256,33,618,156,3746,128,239,237,1506,Commanche,C4758,1
2303,333,21,255,107,685,166,208,178,474,Cache,C2717,2
2679,141,6,255,12,1846,230,238,142,2462,Commanche,C2703,2
2710,298,31,60,36,1332,118,211,225,636,Commanche,C7757,1
3280,257,17,721,129,3231,177,248,208,900,Commanche,C4758,0
2204,40,27,192,127,300,211,171,80,633,Cache,C4703,2
2751,201,17,134,8,1826,210,253,172,2563,Rawah,C7746,1
3165,2,12,30,4,778,203,216,151,2525,Rawah,C7202,0
3028,122,12,443,66,474,240,230,118,1348,Rawah,C7201,0
2980,326,9,67,15,4329,199,231,171,295,Rawah,C7745,0
3041,338,7,450,-79,1879,205,230,164,2155,Commanche,C7756,1
2601,44,17,469,194,1184,222,201,109,755,Commanche,C4704,2
2683,25,18,67,6,1308,208,199,123,1852,Commanche,C7757,1
3065,21,7,212,17,2858,216,226,147,1588,Commanche,C7756,1
3145,272,16,708,78,3398,177,243,205,2038,Commanche,C7755,0
3265,5,6,390,37,1742,213,229,154,757,Commanche,C7755,0
2959,27,14,60,7,4460,213,210,130,5334,Rawah,C4744,1
3397,207,7,277,28,2896,216,246,167,1932,Commanche,C7756,0
2865,348,22,295,8,886,175,199,159,1994,Commanche,C7700,1
3249,168,10,210,9,3293,228,244,147,1259,Commanche,C7756,1
2998,346,9,108,3,2648,203,226,161,2097,Commanche,C7201,0
2770,333,28,228,99,2271,143,191,180,2385,Rawah,C7745,1
3309,279,23,511,88,1935,152,236,221,3231,Rawah,C8772,0
3209,112,5,342,18,5806,229,234,139,3034,Rawah,C7745,1
3189,351,25,458,23,735,168,190,155,1806,Neota,C7757,0
3236,6,2,553,33,1731,216,234,155,1168,Commanche,C7755,0
2892,38,18,402,97,3141,217,198,111,966,Commanche,C4703,1
2769,18,9,175,38,1645,213,220,144,2335,Rawah,C4744,1
2347,1,31,390,144,1165,159,165,130,150,Cache,C4703,2
3221,23,18,390,22,458,207,200,124,1142,Neota,C7202,0
3243,79,6,212,-6,3027,228,229,135,1974,Commanche,C7755,0
3228,53,9,459,37,3194,226,221,129,3755,Rawah,C7202,0
2850,323,25,277,100,1273,148,205,192,1245,Commanche,C4758,1
3112,84,19,201,14,5098,243,205,85,67,Rawah,C7746,1
3207,8,13,85,16,4279,204,213,145,459,Commanche,C7756,0
3193,14,10,779,176,1907,210,218,144,2407,Commanche,C7755,0
3097,38,3,42,0,4123,219,233,150,1320,Rawah,C7201,0
2927,229,33,228,113,1333,154,249,214,175,Commanche,C4758,1
2845,72,10,180,68,2081,231,221,122,1332,Commanche,C4703,1
3330,209,10,180,19,1087,213,249,171,1687,Commanche,C7103,6
3114,259,12,162,33,5581,190,247,195,2737,Rawah,C7201,1
3347,1,14,541,112,1956,199,213,150,1173,Commanche,C7755,0
3291,358,7,573,124,2547,209,227,156,2314,Commanche,C7700,0
2410,42,13,67,9,524,222,211,122,564,Commanche,C4703,1
2886,86,29,150,-46,541,247,178,40,573,Rawah,C7201,0
3149,34,11,350,59,3404,219,216,132,3214,Rawah,C7745,0
2519,135,16,90,2,430,243,232,113,3247,Rawah,C6731,1
2922,88,22,379,117,408,246,197,69,1436,Rawah,C7745,1
3102,209,13,180,-24,2460,209,252,176,1878,Commanche,C7202,1
3032,18,3,134,0,1366,217,233,153,2779,Rawah,C7202,0
2976,117,6,350,31,5267,231,234,136,1879,Rawah,C7745,0
2423,325,23,212,77,711,157,208,188,1266,Cache,C4703,5
3024,56,17,371,86,2135,229,203,101,1771,Commanche,C7755,1
2930,317,30,285,96,2661,127,198,203,582,Commanche,C7757,1
3247,34,3,417,152,5067,219,232,149,1830,Rawah,C7745,0
3148,140,15,268,70,212,241,234,119,2250,Neota,C7756,0
2955,180,14,860,160,2733,225,248,153,1216,Commanche,C7790,1
3004,253,9,324,-24,2379,201,246,184,1319,Commanche,C7755,1
3236,335,16,90,15,2073,183,218,173,1884,Neota,C7202,1
3044,84,9,365,40,5575,233,225,125,4161,Rawah,C7745,0
2381,98,21,124,55,1041,249,205,73,1273,Cache,C2706,5
3011,108,10,212,36,2912,237,229,122,6632,Rawah,C7745,0
3200,288,5,295,16,793,207,239,171,1749,Commanche,C7755,0
2763,219,29,150,72,1060,175,252,199,1813,Commanche,C2705,4
3363,122,6,42,2,2504,230,235,138,1253,Commanche,C8772,6
3138,139,4,150,4,4179,227,238,146,1739,Rawah,C7202,1
2763,263,12,60,15,2631,190,246,194,6349,Rawah,C7745,1
3144,68,10,339,36,2845,231,220,121,2812,Commanche,C7756,1
2928,352,2,42,1,2395,216,236,157,400,Commanche,C7755,1
3119,310,21,228,82,150,157,220,201,1961,Neota,C7201,0
3103,62,21,108,46,5042,233,192,82,1667,Rawah,C7745,0
2921,32,9,541,79,2687,218,221,138,1263,Commanche,C7755,0
2757,22,13,175,21,1622,212,213,136,1237,Commanche,C4703,4
2988,291,15,513,9,1433,177,236,199,1430,Commanche,C7755,1
3164,235,13,342,61,2320,197,251,190,924,Commanche,C7756,1
3058,343,25,566,204,566,160,192,165,1691,Rawah,C7746,0
3008,233,14,659,108,5744,196,252,191,4360,Rawah,C7745,1
3199,75,7,134,-15,2912,228,228,133,1699,Rawah,C7745,0
2422,19,31,85,47,1022,181,160,99,716,Cache,C4703,5
2878,149,1,339,35,2989,221,238,154,2486,Rawah,C4744,0
3013,102,16,309,47,1034,245,217,95,2538,Rawah,C7745,1
2819,273,22,277,170,1698,156,240,220,1460,Commanche,C2705,1
3179,96,16,537,-27,457,244,215,95,2060,Commanche,C7202,1
3039,239,4,301,17,2230,212,243,169,1170,Rawah,C7745,1
3295,144,19,509,120,1699,243,233,111,1248,Neota,C7757,0
3072,251,20,510,161,5747,172,249,212,1324,Rawah,C7745,1
3282,6,11,30,4,2086,207,219,149,2014,Neota,C8771,1
2745,269,14,120,10,1767,183,244,200,966,Commanche,C7757,1
2556,51,13,351,14,1167,226,211,117,4092,Rawah,C6731,1
3135,97,15,270,29,2343,243,218,101,1710,Commanche,C7756,1
2940,58,34,234,73,1710,222,149,34,2700,Commanche,C7700,0
2938,119,15,150,0,4455,245,225,105,3260,Rawah,C7745,1
3258,145,23,424,213,3720,245,229,99,2230,Commanche,C7757,0
3171,279,9,570,86,966,196,241,184,912,Commanche,C7202,1
3368,81,5,485,46,1501,226,231,140,2518,Commanche,C8771,6
3135,148,16,90,0,2391,239,237,122,1448,Commanche,C7709,0
3068,52,11,150,4,1123,226,217,124,1040,Rawah,C7745,0
2952,122,6,242,33,4878,230,235,138,5729,Rawah,C7102,0
3058,255,11,362,36,1341,194,247,191,674,Commanche,C7756,1
2872,28,10,255,72,3450,216,218,137,1788,Commanche,C4703,1
3368,186,10,459,100,3274,222,247,158,192,Commanche,C8771,0
2752,104,23,295,119,2349,251,203,66,2256,Commanche,C2705,2
3203,94,10,295,-25,1734,236,226,120,1624,Rawah,C7745,1
2711,155,10,108,16,2308,231,241,141,1816,Rawah,C4744,1
3025,147,8,297,56,5149,231,239,140,914,Rawah,C7745,1
2485,150,4,30,0,1195,225,239,150,1101,Commanche,C2705,5
2554,337,25,319,153,1050,158,198,174,967,Commanche,C4703,2
3198,283,9,255,20,624,194,241,186,916,Neota,C7756,1
2944,51,6,787,178,2481,223,227,139,696,Commanche,C4704,0
3040,94,14,218,29,3472,241,218,103,212,Rawah,C7745,1
2425,269,32,90,39,780,121,232,239,1539,Cache,C4703,1
2724,342,2,124,8,2407,214,235,159,4549,Rawah,C4744,1
3071,25,12,120,4,1364,214,215,135,3078,Commanche,C7755,0
3303,17,16,247,64,3421,206,206,134,2279,Commanche,C7755,0
3184,65,31,300,138,1543,231,161,38,2598,Commanche,C7757,0
2885,14,7,335,24,3500,213,225,149,3180,Rawah,C4744,1
3016,27,14,366,157,1442,213,208,128,3258,Commanche,C7700,0
2006,79,16,0,0,192,240,209,95,339,Cache,C6102,3
2983,3,13,192,16,2393,201,214,149,2093,Commanche,C7700,0
3041,101,5,60,-1,3730,228,233,139,324,Rawah,C7202,0
2897,359,9,400,107,750,206,223,155,2173,Rawah,C4744,1
3134,92,12,390,61,4998,239,221,110,242,Rawah,C7746,1
3024,5,11,210,20,5228,205,218,149,4491,Rawah,C7745,1
3039,317,9,454,-29,1906,196,232,176,2346,Commanche,C7755,1
2312,310,27,324,126,1180,138,211,208,895,Cache,C4703,5
3180,334,14,242,23,3903,186,220,173,2052,Commanche,C7202,0
3056,315,11,379,13,459,192,231,180,525,Neota,C7202,1
3024,166,10,426,67,446,229,244,145,1500,Rawah,C7202,0
2751,190,19,85,15,1451,217,251,160,2460,Commanche,C2705,1
2879,65,13,175,69,175,232,214,112,513,Rawah,C7746,1
3008,142,9,162,9,5025,233,238,136,3150,Rawah,C7745,1
2960,352,5,663,175,1064,211,231,158,2572,Commanche,C7756,1
3068,279,8,67,6,933,199,241,182,1779,Neota,C7700,0
3088,229,18,30,0,2779,190,254,196,1237,Commanche,C7202,1
3039,90,28,277,62,510,249,184,46,1337,Rawah,C7746,0
2612,18,12,437,32,1533,211,215,139,1816,Commanche,C4703,5
3102,20,5,108,7,1448,217,229,150,1377,Neota,C7202,1
3400,132,7,30,0,1855,232,236,136,3217,Neota,C8703,0
3014,281,4,624,183,5440,209,240,169,5239,Rawah,C4744,1
2891,269,35,180,120,2251,111,228,243,1436,Commanche,C4758,0
2815,58,3,30,2,2461,222,233,147,2571,Rawah,C7202,1
2975,207,11,134,16,5495,213,250,171,2242,Rawah,C7202,0
3025,40,23,930,268,1597,215,182,91,2112,Commanche,C7757,0
3120,215,4,30,-1,2228,216,243,164,785,Commanche,C7202,1
2955,315,4,324,42,3799,208,236,167,4402,Rawah,C4744,1
2867,124,11,95,14,2706,238,232,124,2419,Rawah,C7746,0
3050,37,5,350,73,5174,220,229,145,3635,Rawah,C7745,0
3200,189,6,201,9,2592,220,244,159,984,Rawah,C7202,0
3061,13,13,371,-1,2423,207,212,141,1234,Commanche,C7202,0
2803,105,13,270,16,532,242,223,108,297,Rawah,C7746,4
2808,30,9,108,8,3303,218,220,137,5383,Rawah,C4744,1
3028,316,14,182,39,2642,182,227,185,1840,Commanche,C7756,1
3371,199,11,162,15,3037,216,250,167,2007,Commanche,C7756,0
3270,73,17,485,46,1189,237,206,94,2165,Rawah,C8776,0
3017,263,12,450,72,5881,189,246,196,1782,Rawah,C7745,0
3110,294,13,67,-16,2546,183,236,194,685,Commanche,C7756,1
2900,203,16,134,-10,1590,210,253,173,1390,Commanche,C7755,1
2889,207,28,175,48,849,189,252,183,162,Commanche,C7756,1
3272,342,7,201,3,1747,206,230,162,1256,Commanche,C8771,0
2804,55,6,210,39,1350,224,227,139,2465,Commanche,C7756,0
2932,203,10,234,21,1622,215,249,168,1302,Commanche,C7755,1
3262,356,7,67,4,866,209,228,157,2177,Rawah,C8771,0
2682,51,15,120,28,2095,226,207,111,1952,Commanche,C4703,5
3407,358,17,525,59,3999,191,206,151,3479,Commanche,C8772,6
2788,41,5,180,-11,180,220,229,145,960,Rawah,C7746,1
3175,3,20,60,19,1770,190,199,142,2201,Commanche,C7700,0
2889,100,5,404,73,3669,229,233,138,3051,Rawah,C4744,1
2521,42,24,42,13,1222,216,180,88,1651,Commanche,C4703,5
2430,142,14,323,89,871,239,236,123,1242,Commanche,C2703,2
3011,38,8,60,19,1158,220,223,138,2442,Rawah,C7745,1
3222,0,1,30,0,3549,217,236,156,4106,Rawah,C7101,0
3226,131,25,300,69,4025,251,218,79,2915,Commanche,C7757,0
2981,0,4,0,0,3887,213,232,156,837,Rawah,C7202,0
2873,98,5,510,104,3761,228,233,138,5926,Rawah,C4744,1
2752,83,16,0,0,1493,241,210,94,1187,Commanche,C7202,0
2985,279,9,256,40,2758,195,242,186,592,Commanche,C7757,1
2699,83,9,134,18,1543,233,224,122,3522,Rawah,C4744,1
3206,247,12,684,164,3367,194,249,192,1159,Commanche,C4758,0
2737,33,25,120,-53,120,207,177,94,175,Rawah,C7746,0
2568,94,36,488,160,459,248,160,7,1358,Commanche,C2705,2
2588,102,24,543,-11,781,251,201,64,1165,Commanche,C2705,2
2526,282,20,240,99,1262,161,237,214,735,Cache,C4703,1
3234,283,13,270,80,4625,183,240,197,3317,Rawah,C7745,0
3095,104,38,30,0,4708,251,163,0,1689,Rawah,C7202,0
2969,351,11,371,113,778,199,221,159,1766,Commanche,C7755,1
2356,38,14,285,149,150,219,208,121,1422,Cache,C2703,2
3292,9,13,277,64,1684,205,213,144,976,Commanche,C7755,0
2223,252,13,30,7,1100,192,248,195,582,Cache,C2702,2
3060,323,23,85,22,3166,157,210,190,2728,Commanche,C7700,0
2829,228,23,42,15,1275,180,254,203,2583,Commanche,C7757,4
2875,211,27,180,29,841,187,253,188,661,Commanche,C4758,1
2792,108,28,124,73,2067,254,194,48,469,Commanche,C4758,1
2582,340,19,180,35,1461,177,210,169,1566,Commanche,C4703,1
2837,15,7,42,2,598,214,226,149,589,Commanche,C7755,1
2837,153,12,150,16,2106,234,240,135,2288,Commanche,C7702,1
2785,48,6,0,0,1338,223,227,140,2349,Rawah,C7745,1
3000,14,6,570,79,1638,215,228,150,603,Commanche,C7755,1
3118,111,11,95,10,2137,240,228,117,2478,Commanche,C7756,0
3035,317,10,256,36,2724,193,231,178,1825,Commanche,C7756,1
2768,95,36,134,58,218,250,164,10,1478,Rawah,C7746,4
2867,63,25,190,85,1492,233,180,65,2003,Commanche,C7700,1
3051,100,13,228,17,4354,241,222,110,2568,Rawah,C7745,1
2565,44,27,300,-34,981,215,172,76,1050,Commanche,C2705,2
2543,358,14,95,14,2016,198,213,153,2061,Commanche,C4703,1
2961,317,15,785,196,966,178,225,186,2510,Commanche,C7756,1
2592,151,10,242,53,1282,233,240,138,1765,Commanche,C2705,2
3089,297,16,240,54,3455,173,233,200,607,Rawah,C7745,0
2342,310,16,256,113,1087,174,227,192,571,Cache,C2706,5
2936,164,12,190,64,3371,231,243,142,2186,Commanche,C2705,1
2722,3,8,234,38,1396,209,225,153,3035,Rawah,C7746,1
2276,98,22,95,29,1206,250,202,69,666,Cache,C2703,5
2614,132,14,150,24,1115,242,232,117,5336,Rawah,C7745,1
3026,270,11,1044,184,2940,190,244,193,1290,Commanche,C7757,1
3050,350,13,426,75,5460,196,218,160,3783,Rawah,C7745,0
2970,48,11,30,9,2370,224,216,124,2174,Commanche,C7202,0
2888,356,17,484,83,2561,191,207,153,1557,Commanche,C7757,1
2084,305,21,30,6,1369,157,223,204,696,Cache,C6102,2
3081,295,15,150,40,890,175,234,199,2608,Rawah,C7746,0
2798,236,22,210,41,1565,176,253,208,1320,Commanche,C7757,1
3049,311,46,446,206,1535,60,161,216,957,Commanche,C7757,0
2976,180,13,484,90,1608,224,248,153,1842,Commanche,C7757,1
2672,152,15,300,67,492,237,239,129,180,Commanche,C2705,2
3025,18,4,335,5,1530,217,231,152,1266,Commanche,C7756,1
3009,27,14,488,32,1114,213,209,129,2255,Rawah,C7745,1
2408,7,18,443,138,976,195,201,140,1112,Cache,C4703,5
2965,206,14,400,44,2058,210,252,174,2059,Commanche,C7756,1
3060,97,11,0,0,2173,239,224,114,3500,Commanche,C7700,0
3362,321,6,258,28,1383,204,234,169,2110,Commanche,C7756,0
2969,47,24,418,174,4420,220,180,82,840,Rawah,C7745,1
3045,42,24,242,87,162,216,181,89,1358,Commanche,C7700,1
2975,135,3,371,49,5214,225,238,148,6434,Rawah,C4744,0
2437,33,15,571,93,785,216,206,122,1332,Cache,C4703,5
3191,354,12,127,1,1357,200,219,157,301,Commanche,C7202,0
3296,111,22,437,101,306,252,210,74,513,Neota,C7756,0
2862,322,16,67,12,1383,179,223,183,1486,Rawah,C7745,1
3344,57,32,323,110,1854,223,156,44,2123,Rawah,C8776,0
2791,61,26,108,34,836,230,177,64,2024,Rawah,C7746,1
3028,341,15,201,42,2580,187,216,167,1001,Commanche,C7755,1
2581,147,11,162,50,960,235,239,133,234,Rawah,C7745,1
3046,214,18,42,13,624,200,254,184,560,Commanche,C7700,1
2813,54,8,0,0,1142,225,222,130,335,Commanche,C7202,1
2854,43,11,120,-10,1855,222,215,126,1928,Commanche,C7755,1
3045,250,6,234,24,4562,208,244,174,1052,Rawah,C7745,1
3111,341,11,342,78,228,196,223,166,1146,Commanche,C7756,1
3182,61,12,120,37,1702,230,215,116,2142,Commanche,C7757,0
3370,29,23,277,81,5041,206,185,105,150,Rawah,C8772,0
3004,357,16,404,86,4731,192,209,152,1841,Rawah,C7745,1
2516,46,27,309,39,703,216,171,73,841,Cache,C4703,2
2991,351,6,0,0,6118,210,230,159,3326,Rawah,C7102,1
2114,336,31,342,50,390,136,181,174,967,Cache,C2706,5
3177,158,32,459,-55,1997,236,226,95,1376,Rawah,C7745,0
3197,69,23,285,72,4133,237,189,71,3705,Rawah,C7201,0
3191,315,11,85,1,1319,191,231,180,277,Commanche,C7202,0
2951,133,11,283,34,685,238,235,126,2287,Commanche,C7756,1
3035,3,12,90,18,1182,203,216,150,2724,Commanche,C7201,0
3130,168,9,127,8,2255,228,244,148,742,Commanche,C7756,1
2685,112,24,192,69,1380,252,207,69,693,Rawah,C7746,4
2952,68,21,90,31,2334,236,194,80,2568,Commanche,C7757,0
3119,306,13,604,114,6177,184,232,188,1530,Rawah,C7745,1
2486,40,22,30,9,942,216,185,95,949,Cache,C4703,2
3276,59,22,192,57,2532,231,188,0,430,Commanche,C8772,6
2993,76,2,95,4,1678,222,235,150,1608,Rawah,C7745,0
3152,74,12,391,106,351,234,217,114,1466,Rawah,C7201,1
2465,310,20,30,11,824,161,222,199,636,Commanche,C6102,5
2698,95,6,457,81,812,229,231,136,876,Rawah,C4744,1
2921,243,19,319,108,1681,178,252,207,711,Commanche,C7755,1
2344,72,24,319,93,384,239,187,67,870,Cache,C2704,2
2956,225,2,150,3,1307,216,241,162,295,Commanche,C7756,1
2844,310,11,85,-4,3184,191,233,182,2609,Rawah,C4744,0
